symbol,k_vol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_gross,e_pnl_net,sharpe,profit_factor
ETH/USDT,5.0,1.5,1.5,1.0,735,0.2680272108843537,-0.00048262727895565205,-0.0029826272789556523,-157.2137263517257,0.15713054528083165
ETH/USDT,5.0,1.5,1.5,1.5,718,0.3607242339832869,-0.00032175923683472866,-0.0028217592368347286,-119.14886644555669,0.20958019637537256
ETH/USDT,5.0,1.5,2.0,0.5,738,0.15718157181571815,-0.0001982115561787194,-0.0026982115561787197,-178.47360992220192,0.15938973347535004
ETH/USDT,5.0,1.5,2.0,1.0,729,0.26337448559670784,-0.0002844558543263773,-0.0027844558543263774,-126.99182737484105,0.23997617127165005
ETH/USDT,5.0,1.5,2.0,1.5,711,0.35724331926863573,-9.200560012483832e-05,-0.0025920056001248384,-96.3611948835419,0.3121443601016193
ETH/USDT,5.0,2.0,1.0,0.5,620,0.11129032258064517,-0.0004912243354185991,-0.0029912243354185994,-303.2932245171209,0.03840636238400347
ETH/USDT,5.0,2.0,1.0,1.0,620,0.18387096774193548,-0.0007528105054848597,-0.0032528105054848598,-210.10760509209751,0.05693150598887647
ETH/USDT,5.0,2.0,1.0,1.5,612,0.272875816993464,-0.0004345439106070193,-0.0029345439106070194,-146.77331658219424,0.09553940513575963
ETH/USDT,5.0,2.0,1.5,0.5,620,0.1629032258064516,-0.0002657571251563324,-0.0027657571251563325,-216.83128356735227,0.10867457542187733
ETH/USDT,5.0,2.0,1.5,1.0,618,0.27184466019417475,-0.00045148561658817413,-0.0029514856165881744,-157.64952947865552,0.15718541022749702
ETH/USDT,5.0,2.0,1.5,1.5,606,0.3795379537953795,-0.00016113868036104874,-0.0026611386803610483,-112.97984561347093,0.2261378328734858
ETH/USDT,5.0,2.0,2.0,0.5,618,0.16181229773462782,-0.00013234098986266083,-0.0026323409898626605,-172.11712969762831,0.16941551789451048
ETH/USDT,5.0,2.0,2.0,1.0,613,0.26753670473083196,-0.00021969092525147305,-0.002719690925251473,-124.67732348304199,0.24733065119737777
ETH/USDT,5.0,2.0,2.0,1.5,601,0.37437603993344426,8.889967848893404e-05,-0.002411100321511066,-89.33643435493275,0.3398644032233975
ETH/USDT,5.0,2.5,1.0,0.5,501,0.10179640718562874,-0.0004895203441776466,-0.0029895203441776467,-311.28446123741986,0.03583630423268289
ETH/USDT,5.0,2.5,1.0,1.0,501,0.16766467065868262,-0.0007596614539572402,-0.0032596614539572404,-216.3632920617716,0.05425124313385423
ETH/USDT,5.0,2.5,1.0,1.5,497,0.2454728370221328,-0.0005477664737670377,-0.0030477664737670377,-154.8151772449391,0.08187563904571678
ETH/USDT,5.0,2.5,1.5,0.5,501,0.1596806387225549,-0.00024161898900333496,-0.0027416189890033344,-217.38873314798516,0.10702735540052184
ETH/USDT,5.0,2.5,1.5,1.0,501,0.25948103792415167,-0.0004560239546118421,-0.002956023954611842,-161.43592055999792,0.15086227762937565
ETH/USDT,5.0,2.5,1.5,1.5,494,0.3643724696356275,-0.0002734430192158269,-0.0027734430192158273,-119.43316413106875,0.206192140564783
ETH/USDT,5.0,2.5,2.0,0.5,499,0.17034068136272545,-4.953259149006094e-05,-0.0025495325914900607,-165.22614534684584,0.17870590241628417
ETH/USDT,5.0,2.5,2.0,1.0,497,0.26961770623742454,-0.00015169882730766817,-0.002651698827307668,-122.72110429168762,0.25161545616464587
ETH/USDT,5.0,2.5,2.0,1.5,490,0.37755102040816324,9.395950278511275e-05,-0.0024060404972148872,-89.95828140159523,0.3357183873611883
ETH/USDT,7.0,1.5,1.0,0.5,432,0.09722222222222222,-0.0005868715266921314,-0.0030868715266921315,-328.00065638627257,0.031047823372784458
ETH/USDT,7.0,1.5,1.0,1.0,432,0.1736111111111111,-0.0007714432310985649,-0.003271443231098565,-210.36284375648978,0.058898655674395534
ETH/USDT,7.0,1.5,1.0,1.5,427,0.24121779859484777,-0.000580083068410387,-0.0030800830684103876,-155.35726073537757,0.08394964003149553
ETH/USDT,7.0,1.5,1.5,0.5,432,0.14814814814814814,-0.00036629066755093604,-0.002866290667550936,-235.49887345774852,0.09426518729118402
ETH/USDT,7.0,1.5,1.5,1.0,431,0.2691415313225058,-0.00045332876302400717,-0.002953328763024007,-156.95201313757107,0.15744095647543205
ETH/USDT,7.0,1.5,1.5,1.5,424,0.3561320754716981,-0.0002940803746622697,-0.00279408037466227,-119.56263701934859,0.2057891211609294
ETH/USDT,7.0,1.5,2.0,0.5,432,0.15046296296296297,-0.0002625789243786271,-0.0027625789243786274,-193.37778943892766,0.14518796591501928
ETH/USDT,7.0,1.5,2.0,1.0,429,0.27505827505827507,-0.00018580337852968441,-0.002685803378529684,-122.02943706442589,0.2536660400049631
ETH/USDT,7.0,1.5,2.0,1.5,422,0.3696682464454976,1.6683057411289677e-05,-0.0024833169425887104,-92.86145387829745,0.32353364844287397
ETH/USDT,7.0,2.0,1.0,0.5,379,0.10026385224274406,-0.0005256784522362568,-0.0030256784522362575,-322.1651615310298,0.032539991478052886
ETH/USDT,7.0,2.0,1.0,1.0,379,0.17150395778364116,-0.0007204705709740722,-0.0032204705709740723,-212.253467626983,0.05857833427081954
ETH/USDT,7.0,2.0,1.0,1.5,376,0.24468085106382978,-0.0004901028566993425,-0.002990102856699343,-152.7686368334301,0.08734472505697462
ETH/USDT,7.0,2.0,1.5,0.5,379,0.15303430079155672,-0.00029773382970617204,-0.0027977338297061724,-229.4546660950823,0.09950722615692756
ETH/USDT,7.0,2.0,1.5,1.0,378,0.2698412698412698,-0.0003520859767240095,-0.0028520859767240097,-153.668388225575,0.16499917026164174
ETH/USDT,7.0,2.0,1.5,1.5,375,0.3626666666666667,-0.00016775953087862133,-0.002667759530878622,-115.2523988706155,0.21898448511542196
ETH/USDT,7.0,2.0,2.0,0.5,379,0.16094986807387862,-0.0001472108068649766,-0.0026472108068649773,-180.45603532278957,0.16204496939025237
ETH/USDT,7.0,2.0,2.0,1.0,376,0.28191489361702127,-3.185919021532354e-05,-0.002531859190215324,-115.21275568986643,0.2737165369008419
ETH/USDT,7.0,2.0,2.0,1.5,374,0.37967914438502676,0.00017215345475096643,-0.0023278465452490336,-87.07216652373337,0.3480362938148781
ETH/USDT,7.0,2.5,1.0,0.5,329,0.09422492401215805,-0.000527194363950254,-0.0030271943639502536,-329.8979694430193,0.029929140732817657
ETH/USDT,7.0,2.5,1.0,1.0,329,0.16109422492401215,-0.0007198422187741934,-0.003219842218774193,-216.31365763284919,0.05598710279542091
ETH/USDT,7.0,2.5,1.0,1.5,327,0.22629969418960244,-0.0005845060060803562,-0.0030845060060803566,-158.95767033217058,0.07743456273563828
ETH/USDT,7.0,2.5,1.5,0.5,329,0.14893617021276595,-0.00029579402324954464,-0.002795794023249545,-233.7163237836865,0.09521181074253678
ETH/USDT,7.0,2.5,1.5,1.0,329,0.25835866261398177,-0.00036778297263634216,-0.002867782972636342,-157.50492284104592,0.157323898579044
ETH/USDT,7.0,2.5,1.5,1.5,327,0.345565749235474,-0.00030624070185673,-0.0028062407018567305,-122.31218438923645,0.1985074285542152
ETH/USDT,7.0,2.5,2.0,0.5,329,0.16109422492401215,-0.0001241732169150379,-0.002624173216915038,-180.82155409243438,0.16072470777041983
ETH/USDT,7.0,2.5,2.0,1.0,328,0.2774390243902439,-2.284014255888446e-05,-0.0025228401425588846,-116.52399378748746,0.2686145515421592
ETH/USDT,7.0,2.5,2.0,1.5,326,0.37423312883435583,8.790388277159899e-05,-0.002412096117228401,-90.8960965091516,0.33064252934418065
